Division,Date,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Shots,Away_Shots,Home_Shots_on_Target,Away_Shots_on_Target,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards
SP1,2015-03-16,Getafe,Sociedad,0,1,A,14,10,5,4,6,5,4,1,0,0
SP1,2015-03-20,Elche,Valencia,0,4,A,7,10,1,5,4,4,1,0,0,0
SP1,2015-03-21,Levante,Celta,0,1,A,9,17,3,5,5,5,4,3,0,0
SP1,2015-03-21,Vallecano,Malaga,1,0,H,11,6,2,2,7,4,8,0,0,1
SP1,2015-03-21,Granada,Eibar,0,0,D,17,4,4,1,7,5,4,1,0,0
SP1,2015-03-21,Ath Madrid,Getafe,2,0,H,15,5,6,1,10,5,2,2,0,0
SP1,2015-03-21,Ath Bilbao,Almeria,2,1,H,19,7,6,1,9,6,2,4,0,1
SP1,2015-03-22,Barcelona,Real Madrid,2,1,H,17,13,5,4,7,10,5,6,0,0
SP1,2015-03-22,La Coruna,Espanol,0,0,D,14,7,1,2,2,2,4,4,0,0
SP1,2015-03-22,Sociedad,Cordoba,3,1,H,19,11,3,6,9,5,1,5,0,3
SP1,2015-03-22,Villarreal,Sevilla,0,2,A,23,9,5,5,8,2,2,1,0,0
SP1,2015-04-13,Valencia,Levante,3,0,H,13,11,5,1,5,4,3,3,0,0
SP1,2015-04-17,Levante,Espanol,2,2,D,13,12,3,6,8,4,1,3,0,0
SP1,2015-04-18,Ath Bilbao,Getafe,4,0,H,27,1,8,1,6,1,2,4,0,1
SP1,2015-04-18,Barcelona,Valencia,2,0,H,11,11,5,3,6,3,4,4,0,0
SP1,2015-04-18,La Coruna,Ath Madrid,1,2,A,9,15,2,10,5,6,2,4,0,0
SP1,2015-04-18,Real Madrid,Malaga,3,1,H,12,11,6,2,4,3,2,2,0,0
SP1,2015-04-19,Villarreal,Cordoba,0,0,D,28,9,7,4,12,3,1,4,0,0
SP1,2015-04-19,Vallecano,Almeria,2,0,H,13,8,9,3,5,7,1,2,0,0
SP1,2015-04-19,Eibar,Celta,0,1,A,11,17,3,5,1,9,2,2,0,0
SP1,2015-04-19,Granada,Sevilla,1,1,D,6,16,2,3,5,9,2,2,0,0
SP1,2015-04-20,Elche,Sociedad,1,0,H,9,4,2,2,7,4,3,4,0,0
SP1,2015-04-24,Cordoba,Ath Bilbao,0,1,A,22,15,2,4,9,5,2,3,0,0
SP1,2015-04-25,Ath Madrid,Elche,3,0,H,18,14,9,3,9,8,3,2,0,0
SP1,2015-04-25,Espanol,Barcelona,0,2,A,7,12,2,5,5,3,5,1,1,1
SP1,2015-04-25,Getafe,Levante,0,1,A,10,9,2,3,5,5,4,3,0,0
SP1,2015-04-25,Sociedad,Villarreal,0,0,D,13,19,2,4,7,9,1,4,0,0
SP1,2015-04-26,Almeria,Eibar,2,0,H,9,8,3,5,5,7,4,3,0,0
SP1,2015-04-26,Celta,Real Madrid,2,4,A,20,10,4,7,5,4,3,2,0,0
SP1,2015-04-26,Malaga,La Coruna,1,1,D,14,12,5,3,9,5,5,1,0,0
SP1,2015-04-26,Sevilla,Vallecano,2,0,H,12,22,7,3,5,8,0,2,0,0
SP1,2015-04-27,Valencia,Granada,4,0,H,13,5,6,0,2,6,3,3,0,0
SP1,2015-04-28,Barcelona,Getafe,6,0,H,21,7,12,3,5,6,0,0,0,0
SP1,2015-04-28,Levante,Cordoba,1,0,H,13,8,3,1,6,5,3,3,0,0
SP1,2015-04-28,Ath Bilbao,Sociedad,1,1,D,11,13,3,8,7,3,2,2,0,1
SP1,2015-04-29,Celta,Malaga,1,0,H,14,7,2,2,3,5,2,3,0,0
SP1,2015-04-29,Eibar,Sevilla,1,3,A,15,12,3,6,4,2,3,2,0,0
SP1,2015-04-29,Elche,La Coruna,4,0,H,12,10,7,5,3,4,1,2,0,0
SP1,2015-04-29,Real Madrid,Almeria,3,0,H,18,7,4,0,10,4,1,0,0,0
SP1,2015-04-29,Villarreal,Ath Madrid,0,1,A,13,12,3,3,7,1,0,4,0,0
SP1,2015-04-30,Granada,Espanol,1,2,A,16,7,4,3,8,1,2,3,0,0
SP1,2015-04-30,Vallecano,Valencia,1,1,D,9,13,3,5,4,8,2,1,1,1
SP1,2015-05-17,Sevilla,Almeria,2,1,H,15,14,3,3,5,4,0,4,0,1
SP1,2015-05-17,Villarreal,Malaga,2,1,H,8,15,2,4,3,9,3,1,0,0
SP1,2015-05-17,Valencia,Celta,1,1,D,21,11,7,3,7,7,1,5,0,0
SP1,2015-05-17,Sociedad,Granada,0,3,A,7,15,1,6,3,3,2,2,0,0
SP1,2015-05-17,La Coruna,Levante,2,0,H,10,5,3,1,8,3,3,2,0,0
SP1,2015-05-17,Elche,Ath Bilbao,2,3,A,10,17,3,5,1,9,2,2,0,0
